"from","to","count"
"black","blue",2868
"green","brown",2060
"brown","green",16145
"blue","black",1013
"black","brown",8916
"green","green",10048
"brown","black",8010
"blue","blue",6907
"black","green",5871
"green","black",1951
"brown","blue",8045
"blue","brown",940
"black","black",11975
"green","blue",6171
"brown","brown",8090
"blue","green",990
"honey","green",990
"honey","blue",990
"honey","black",990
"honey","brown",990
"honey","honey",1990
"green","honey",790
"blue","honey",790
"black","honey",790
"brown","honey",790